"ADM3_PT","ADM3_PCODE","T_TL","log_population","district_area","Water","Trees","Flooded.vegetation","Crops","Built.Area","Bare.ground","Snow.Ice","Clouds","Rangeland","SR_B1","SR_B2","SR_B3","SR_B4","SR_B5","SR_B6","SR_B7","ST_B10","ST_ATRAN","ST_DRAD","ST_TRAD","ST_URAD","ST_EMIS","ST_EMSD","NDVI","NDWI","NDBI","osm_traffic","osm_transport","osm_places","osm_pofw","osm_pois","osm_railways","osm_roads","building_count","building_area","DNB","ADM3_REF","ADM3ALT1_PT","ADM3ALT2_PT","ADM2_PT","ADM2_PCODE","ADM1_PT","ADM1_PCODE","ADM0_EN","ADM0_PT","ADM0_PCODE","DATE","VALIDON","VALIDTO","AREA_SQKM","predicted_density","weight","predicted_population"
"7 De Abril","MZ070901",39471,10.5833468387691,552.54418191711,7.4181006993828e-05,0.277145934676241,2.15249444754273e-05,2.13470523723246e-06,0.00330345635461723,1.24524472171894e-05,0,0,0.719440315865218,2049.91654489148,2386.74944623942,3340.03844669971,3955.83909512467,3173.73218469908,4977.27603791938,4766.78559224452,7238.24362543304,91.9718345244033,1341.01570463343,941.698192533129,2881.46866966021,3349.29268093715,24.66507715674,3,1.97096070470696,1.68918611131303,1,1,0,0,4,21.0861992347392,69.761080550609,6680,0.329900392419573,0.259708193041526,"",NA,NA,"Meconta","MZ0709","Nampula","MZ07","Mozambique","Moçambique","MZ","2019-04-02 00:00:00","2019-06-07 00:00:00",NA,552.903625488281,458.999402747165,0.192518231673876,53912.2280432573
"Alto Changane","MZ020201",6107.5557,8.71744564124406,2599.92453144262,0.0495418500512414,0.639978504665925,0.00310104984259136,0.0174556713927067,0.000893278970245908,3.36102493065935e-05,0,0,0.288996034827983,1627.54680970341,2076.86110333394,1920.46154599693,2349.00853383889,1336.55945366102,229.938816358227,1369.02328668539,1033.57400586942,310.729326477229,234.178668023331,-147.722436942733,799.865244031323,104.678958004499,34.2471041662236,3.05724197745013,1.93297622291139,1.51786034730402,0,0,1,0,1,0,474.69345571968,8805,0.2476459362,4.72543252595156,"",NA,NA,"Chibuto","MZ0202","Gaza","MZ02","Mozambique","Moçambique","MZ","2019-04-02 00:00:00","2019-06-07 00:00:00",NA,2601.8525390625,224.082896781367,0.0520024026576988,13152.0316609639
"Alto Ligonha","MZ110501",77174.945,11.2538430941934,3898.10226941803,0.00259803880208428,0.47908352337604,1.81594731687487e-05,2.18367035191472e-05,0.00242183398337615,2.74784815909915e-05,0,0,0.515829129180221,642.900683821429,972.049894390443,1310.67452836866,1480.73843984611,1379.81377617598,620.476888766766,992.081825174168,1546.60879522065,-119.067172775153,167.257987041458,565.847083425804,719.132783921448,394.893385818101,80.1872870363768,2.69230769230769,1.76632375064452,1.1280095951205,1,0,21,0,4,0,420.993127755674,28939,1.22777896234981,0.259916591880906,"",NA,NA,"Gile","MZ1105","Zambezia","MZ11","Mozambique","Moçambique","MZ","2019-04-02 00:00:00","2019-06-07 00:00:00",NA,3900.626953125,334.157318812152,0.602424398001252,147539.759314487
"Alto Molocue","MZ110101",297221.9,12.6022376413473,3737.52644799112,0.00175989357669945,0.351550272682825,7.80136727922598e-06,0.00230896751091605,0.00319447540904927,3.24705557027244e-05,0,0,0.641146118897529,53.8701829527882,387.278929025671,726.455198697687,544.136184222183,1107.59119961438,1277.61909665664,721.205028597809,876.626584433405,11.8982567752857,36.3464584986556,-13.9076528286951,-364.432039570337,-79.7446379311296,78.4125126138165,2.61111111111111,1.83225295586605,1.10480803128453,2,0,24,1,13,0,790.679930504302,99769,3.8109114876,3.16870910849405,"",NA,NA,"Alto Molocue","MZ1101","Zambezia","MZ11","Mozambique","Moçambique","MZ","2019-04-02 00:00:00","2019-06-07 00:00:00",NA,3738.8447265625,886.929311426699,0.756754900679125,307749.51545918
"Alua","MZ070301",97911.96,11.4918341997367,1912.05941365615,0.00101579876541858,0.0971778752395357,0,0.000479484708668997,0.0031132666769855,9.50083373819938e-05,0,5.16630437096215e-07,0.898118049641572,2538.72266515766,444.715143744056,1468.21498804045,1214.58931867473,1723.4697121633,1373.73550257114,2364.70723859079,3157.93295421612,-565.814378063897,9.28361505672405,-752.495346420942,171.489491918257,-450.35643261369,53.0718905641259,0,1.99401586898588,1.33424204561231,0,0,1,0,0,0,200.448862575378,48241,2.7434744235,0.189440589765828,"",NA,NA,"Erati","MZ0703","Nampula","MZ07","Mozambique","Moçambique","MZ","2019-04-02 00:00:00","2019-06-07 00:00:00",NA,1913.13134765625,170.824142748755,0.198932789612754,96553.0241024984
"Amatongas","MZ040301",41069.188,10.6230377844907,837.027315523912,0.00016860178398659,0.266395075125337,0,0.00731088549160367,0.00720908595723308,3.8189604647734e-05,0,0,0.718878162037192,4534.48024275371,4756.81246010732,1657.01939686482,1779.53706211777,3960.32617475455,4072.89394474776,5566.82987276519,5645.96100158765,-2924.43624483874,1077.51327786442,727.709865199995,-1173.00870942897,-4304.70616997495,47.0468298771789,2.04166666666667,1.95404588194715,1.42376426532521,2,1,2,0,8,31.540020383441,770.6157157557,13436,0.466893663009455,0.177775096525097,"",NA,NA,"Gondola","MZ0403","Manica","MZ04","Mozambique","Moçambique","MZ","2019-04-02 00:00:00","2019-06-07 00:00:00",NA,837.543762207031,470.002844539966,0.214733338634295,54992.9932909043
"Anchilo","MZ072201",84764.875,11.3476483233355,1316.40084789357,0.000541769737861802,0.0380331310850685,5.22367515844713e-07,0.00207790335409943,0.0202788293326076,1.83574869853999e-05,0,9.02949563103003e-06,0.93904045714023,2295.66838548326,1481.64079205395,2691.24749742637,3630.65920824273,2416.27057402996,2589.65201336209,3384.13842550427,4328.88108767163,-329.439496968561,288.634203040638,-127.589482181053,865.564408039747,720.800828596033,75.9085585092374,1.94117647058824,1.90599591656792,1.3774550142343,10,1,9,0,58,29.5597487207774,334.2610997476,56361,3.187197698,0.325520914930284,"",NA,NA,"Rapale","MZ0722","Nampula","MZ07","Mozambique","Moçambique","MZ","2019-04-02 00:00:00","2019-06-07 00:00:00",NA,1317.40368652344,564.19026662036,0.302366717462071,61560.6542084077
"Ancuabe","MZ010101",68908.75,11.1405529564242,2088.5919855795,6.44367404418241e-05,0.423889351282165,0,0.00149178657278037,0.0050053946762232,1.29253638644367e-05,0,0,0.569536105364525,1015.72265296233,1314.93006830746,741.378399698495,1326.3294201421,2267.37321819657,1929.69201342876,2147.0615479203,13883.1323110754,373.035927475746,-48.8132984543391,765.363082618183,166.299710313381,2596.35202586193,17.0556369900917,2.55725190839695,1.8183467206885,1.04685184219425,1,0,35,0,22,0,552.576614389302,23524,1.38651191471518,0.218935915352366,"",NA,NA,"Ancuabe","MZ0101","Cabo Delgado","MZ01","Mozambique","Moçambique","MZ","2019-04-02 00:00:00","2019-06-07 00:00:00",NA,2089.83862304688,350.860984657536,0.351689563330787,54378.5919717696
"Angoche","MZ070101",244935.86,12.4087557420271,473.555593353238,0.0384265296414375,0.03696231226255,0.0798479047115082,0.00267382515704108,0.0204336935069035,0.0477354809936055,0.000635250953831217,0.000137701359063614,0.773147301414059,774.579619736984,1146.34558415429,2238.71582990303,2734.45627514916,8124.45936049828,8268.16462582674,5446.30718784207,7544.66081221452,-1536.06741011826,1265.84234825364,1486.15450486466,2719.91424794845,925.607183899878,5.62239472845494,3.50294913607661,1.85915716253307,1.89448231296771,5,4,5,18,94,0,216.410877254969,27439,1.456312041,0.383872549019608,"",NA,NA,"Angoche","MZ0701","Nampula","MZ07","Mozambique","Moçambique","MZ","2019-04-02 00:00:00","2019-06-07 00:00:00",NA,473.804779052734,1162.58808421091,0.580379475604393,247928.245527111
"Aube","MZ070102",27328.77,10.2157318632263,551.261392556065,0.0569988710983876,0.21869931218093,0.115615561166149,0.00153089627863369,0.00157207977571395,0.0195554186821828,0.000524816245978459,0.000319263216303562,0.585183781355721,1613.2601694347,1872.56049423913,2791.93867230929,2827.04559580483,2431.36597646376,6988.44656787913,4440.0372441366,8873.92302601653,-16.0798671768742,1268.31759488637,2768.91116602427,2726.9000051062,3039.2117597563,49.6499614806975,3.63266449949557,1.95377325987629,1.85380391038116,0,0,11,0,3,0,30.7655015581167,8582,0.3747257384,0.26717909300538,"",NA,NA,"Angoche","MZ0701","Nampula","MZ07","Mozambique","Moçambique","MZ","2019-04-02 00:00:00","2019-06-07 00:00:00",NA,551.611633300781,277.274060735547,0.13841890877251,59130.2047061673
